Title,Abstract,Speaker,Type,Category,Session_start,Time_start,Time_end,Day,,,,,,
The Quasar Feedback Survey: zooming into the core of radio emission,"Understanding how quasars ``feedback'' on their host galaxies remains a significant challenge of galaxy formation theory. Observations have connected the prevalence of galaxy-wide ionised outflows to the level of radio emission and, consequently, show that understanding the origin of radio emission in typical quasar host galaxies is a key piece of the ``feedback'' puzzle. Towards addressing this, we are performing a systematic study of a representative sample of 71 quasars at z < 0.2 (LAGN ≳10^45 erg/s). Whilst VLA data have revealed that two thirds of the sample show jet/lobe structures on > ~kpc scales, the data are not sensitive to morphologies on smaller scales and show that majority of the radio emission is located in featureless/unresolved nuclear regions. Therefore, the origin of the significant radio emission remains unknown, resulting in missing critical insight into the quasar-host galaxy connection. Using e-MERLIN imaging at C-band, I will show how we are disentangling the different radio production mechanisms at sub-kpc scales. Combining e-MERLIN data with VLA data, we have determined the primary outflow driving mechanisms, and assessed the dominant source of radio emission, across physical scales of ~100pc to ~10kpc.",Ann Njeri,Contributed,RQ AGN and evolutionary studies ,True,09:30,09:45,Friday,,,,,,
The Mass Assembly of High-Redshift Central Black Holes and the Emergence of Jetted AGN,"Recently, multiple questions about the growth of high-redshift supermassive black holes have been raised, regarding their accretion rates, duty cycles, and feedback. Most numerical simulations and semi-analytic models are able to reproduce the available galaxy and BH statistical observables at z~5-6, despite implementing different recipes for BH growth and feedback. Using a semi-analytic model of galaxy evolution in a cosmological context, we aim to break this degeneracy by showing how different BH growth models impact these same observables at z>5. We follow the mass build-up of galaxies covering the wide halo mass range between 10^8 and 10^13.5 solar masses, from z=20 to z=4, and we show how Eddington-limited and super-Eddington accretion models are both consistent with observational properties of SMBH and galaxies at z~5-6, but they become very clearly distinguishable at higher z and in the intermediate mass regime. Our model explicitly includes the interplay between the large-scale galactic gas cycle and BH accretion, so we can study how they influence each other in both scenarios. Adding physically-motivated assumptions on the BH spin and magnetic flux, we can also study the emergence of jetted AGN and their duty cycle.",Olmo Piana,Contributed,RQ AGN and evolutionary studies ,False,09:45,10:00,Friday,,,,,,
Unraveling the galaxy assembly and AGN activity in a massive node of the Cosmic Web at z~3,"Galaxies form and evolve within the densest structures of the Universe where they are fed by filamentary inflows of gas from the Cosmic Web. However, the processes regulating how galaxies accrete their gas and how this affects their gas content and AGN activity are still largely unknown. A recent VLT/MUSE survey around a z~3 quasar finally provided us with one of the first images of contiguous cosmic filaments on Mpc-scales converging into a node containing a large concentration of galaxies and AGN. This represents a perfect laboratory to investigate how is the role of large-scale environment on the galaxy formation and AGN activity at high-z. In this talk I will present recent ALMA follow-up observations toward this massive node of the Cosmic Web. Our observations targeting CO emission lines as well as mm-dust continuum allowed us to obtain a complete census of star-forming galaxies in the field, constraint the galaxy ISM properties, and reveal the morphology and kinematics of the cold gas component of galaxies and AGN embedded in the Cosmic Web node. I will discuss how these observations, in conjunction with multiwavelength data from NIR to X-rays, shed light on the assembly of galaxies and AGN activity in dense environments.",Antonio Pensabene,Contributed,RQ AGN and evolutionary studies ,False,10:00,10:15,Friday,,,,,,
Linking [OIII] outflows in AGN to low-frequency radio emission: new observations with LOFAR VLBI,"The nature of radio emission from radio quiet AGN (Active Galactic Nuclei) and how AGN feedback operates are two of the unsolved mysteries plaguing modern day radio astronomy. AGN show signatures of outflows which could explain how this feedback operates. Studies have connected [OIII] and radio emission. With radio surveys deeper than ever before, we can ask: What physical process causes the connection between [OIII] and radio emission? 

An instrument which can guide us closer to the answer is LOFAR (LOw Frequency ARray). Using radio AGN in LoTSS (LOFAR Two-meter Sky Survey) Boötes Deep Field, I compare radio properties to [OIII] 5007 kinematics. We compare outflow properties of 26 radio AGN at z<0.83 to 33 non radio detected AGN. We discover that 77% of radio AGN host an outflow compared to 23% of non radio AGN, indicating that radio AGN are more likely to host an [OIII] outflow compared to non radio AGN. 

To characterise the morphology of radio emission, we use Very Long Baseline Interferometry (VLBI). I will present the first sub-arcsecond resolution images at 144MHz, created using VLBI, of radio AGN within LoTSS Boötes Deep Field. This resolution is sufficient to determine if radio emission comes from jets or star formation.",Emily Escott,Contributed,RQ AGN and evolutionary studies ,False,10:15,10:30,Friday,,,,,,
Regular cofee break,,,,Conference,False,10:30,11:00,Friday,,,,,,
Black hole mass growth across cosmic time: Insights from the VLA-COSMOS survey,"Radio-mode AGN feedback is a regular ingredient in cosmological models. It is considered to be a key feedback mechanism at work in the latest phases of massive galaxy formation, and controlling the galaxy’s stellar mass build-up. Yet observationally it is still poorly understood. Over the past decades our understanding of radio AGN was significantly advanced by panchromatic look-back surveys. The VLA-COSMOS 3 GHz Large Project is based on 384 hours of observations with the upgraded, Karl G. Jansky Very Large Array) at 3 GHz (10 cm) toward the two square degree COSMOS field. The survey, reaching a median rms of 2.3 uJy/beam over the two square degrees at an angular resolution of 0.75'', contains 10,830 radio sources down to 5 times the rms. It simultaneously provides the largest and deepest radio continuum survey at such angular resolution to date. These radio data, in conjunction with the panchromatic COSMOS data sets, allowed us to study the physical properties, composite nature (i.e., star-formation vs. AGN related contributions to the total radio emission of the sources), and cosmic evolution of radio AGN out to a redshift of about 6, which can directly be linked to the radio-mode feedback, as postulated in cosmological models.",Vernesa Smolcic,Contributed,RQ AGN and evolutionary studies ,True,11:00,11:15,Friday,,,,,,
The nature of compact radio-loud AGN selected by LOFAR,"We investigate the nature of low-luminosity radio-loud AGN selected from LoTSS DR1. We have selected 55 radiative AGN candidates from LoTSS DR1 at redshift z<0.1. We show using high-frequency VLA observations that only 10 objects show extended radio emission (<3 kpc), 42 are compact at the angular limiting resolution of 0.35 arcsec (<1 kpc in projected physical size), while 3 are undetected. The extended objects display a wide range of radio morphologies: doubles, two-jet, core-jet, elongated, and complex. We discuss their radio spectra which range from steep to flat/inverted spectra and span the range seen in other compact AGN such as CSOs, CSSs, and GPSs. Assuming SSA for flat/inverted radio spectrum compact objects, we predict small physical sizes on parsec scales. The compact objects do not occupy a special position on the P-D diagram but share a region with low-radio power CSOs. Finally, we compare their radio properties with those of so-called “FR0s”. These differ from our targets mainly in their classification: FR0s are typically associated with low-excitation radio galaxies, whereas our objects are high-excitation radio galaxies. Studying these objects in the larger LoTSS DR2 will further our understanding of AGN feedback.",Jones Chilufya,Contributed,RQ AGN and evolutionary studies ,False,11:15,11:30,Friday,,,,,,
Insights from Radio VLBI into the Central Engines of AGN feedback,"How AGN inject energy into their surroundings affects their impact on their host galaxies.  For the ~10%-20% of AGN which are “radio loud,” the interaction between the highly collimated relativistic jets emanating from closer to supermassive black hole (SMBH) and its surroundings are believed to result in “kinetic feedback” where gas is both head and pushed out of the galaxy, leading to a significant decrease in star formation rate.  However, this process is far less understood for the 80% - 90% of AGN which are “radio quiet,” where both the origin of the radio emission and mode of AGN feedback are unknown.  This talk will present the results derived from recent VLBI observations of a diverse sample of AGN – both quasars and lower-luminosity AGN associated with ionized gas outflows.  We will then demonstrate how these observations allow us to distinguish between different possible origins for the observed radio emission, each associated with either “kinetic” or “thermal” feedback.  Finally, we will present our initial findings which indicate that the origin of an AGN’s radio emission, and correspondingly the mode with which it affects its host galaxy, depends on its Eddington ratio.",Aisha Al Yazeedi,Contributed,RQ AGN and evolutionary studies ,False,11:30,11:45,Friday,,,,,,
Cosmic evolution of jet-mode AGN feedback: discovery of a dominant new population at high-z,"Jet-mode AGN are thought to play a key role in the life-cycle of massive galaxies and clusters. However, the cosmic evolution of jet-mode AGN and their feedback effect remains largely unconstrained beyond z ~ 1. The LOFAR telescope has been undertaking one of the deepest wide-field radio continuum surveys to date: this represents a novel sample to statistically study the growth of AGN activity and feedback across cosmic time. Using a sample of > 10,000 AGN with excellent ancillary data, I will present the first robust measurement of the evolution of the jet-mode AGN population out to z ~ 2.5. We discover the existence of a new dominant population of jet-mode AGN hosted by star-forming galaxies at high redshifts that has not previously been observed. An analysis of the host-galaxy properties and duty cycle shows that the jet-mode AGN in star-forming galaxies are fuelled by a different mechanism compared to their quiescent counterparts. I will also present the evolution of jet-mode AGN feedback (i.e. kinetic heating output) and compare this with predictions from latest cosmological simulations, which shows evidence for a self-regulating feedback cycle in jet-mode AGN hosts since at least z~2.5.",Rohit Kondapally,Contributed,RQ AGN and evolutionary studies ,False,11:45,12:00,Friday,,,,,,
Discussion,,,,RQ AGN and evolutionary studies ,False,12:00,12:40,Friday,,,,,,
Concluding Remarks,,,,Conference,False,12:40,13:00,Friday,,,,,,
